"","tool","run","parameter","moment","value"
"435","nm7",9,"THETA4","estimate","3.63356"
"436","nm7",9,"THETA4","prse",NA
"437","nm7",9,"THETA4","se",NA
"438","nm7",9,"THETA5","estimate","154.873"
"439","nm7",9,"THETA5","prse",NA
"440","nm7",9,"THETA5","se",NA
"441","nm7",9,"THETA6","estimate","0.96234"
"442","nm7",9,"THETA6","prse",NA
"443","nm7",9,"THETA6","se",NA
"444","nm7",9,"THETA7","estimate","1.32329"
"445","nm7",9,"THETA7","prse",NA
"446","nm7",9,"THETA7","se",NA
"447","nm7",9,"OMEGA1.1","estimate","0.208401"
"448","nm7",9,"OMEGA1.1","prse",NA
"449","nm7",9,"OMEGA1.1","se",NA
"450","nm7",9,"OMEGA2.1","estimate","0.0909884"
"451","nm7",9,"OMEGA2.1","prse",NA
"452","nm7",9,"OMEGA2.1","se",NA
"453","nm7",9,"OMEGA2.2","estimate","0.0421205"
"454","nm7",9,"OMEGA2.2","prse",NA
"455","nm7",9,"OMEGA2.2","se",NA
"456","nm7",9,"OMEGA3.1","estimate","0.0193092"
"457","nm7",9,"OMEGA3.1","prse",NA
"458","nm7",9,"OMEGA3.1","se",NA
"459","nm7",9,"OMEGA3.2","estimate","-0.00895973"
"460","nm7",9,"OMEGA3.2","prse",NA
"461","nm7",9,"OMEGA3.2","se",NA
"462","nm7",9,"OMEGA3.3","estimate","0.128087"
"463","nm7",9,"OMEGA3.3","prse",NA
"464","nm7",9,"OMEGA3.3","se",NA
"465","nm7",9,"SIGMA1.1","estimate","0.0559109"
"466","nm7",9,"SIGMA1.1","prse",NA
"467","nm7",9,"SIGMA1.1","se",NA
"468","nm7",9,"SIGMA2.1","estimate","0"
"469","nm7",9,"SIGMA2.1","prse",NA
"470","nm7",9,"SIGMA2.1","se",NA
"471","nm7",9,"SIGMA2.2","estimate","0.0266592"
"472","nm7",9,"SIGMA2.2","prse",NA
"473","nm7",9,"SIGMA2.2","se",NA
"474","nm7",9,"cov","status","0"
"475","nm7",9,"prob","text","9 phase1 2 CMT like 1004 but diff. initial on V3"
"476","nm7",9,"min","status","0"
"477","nm7",9,"data","filename","../data/9.csv"
"478","nm7",10,"ofv","minimum","2625.56012044293"
"479","nm7",10,"THETA1","estimate","8.97553"
"480","nm7",10,"THETA1","prse",NA
"481","nm7",10,"THETA1","se",NA
"482","nm7",10,"THETA2","estimate","22.9163"
"483","nm7",10,"THETA2","prse",NA
"484","nm7",10,"THETA2","se",NA
"485","nm7",10,"THETA3","estimate","0.0746122"
"486","nm7",10,"THETA3","prse",NA
"487","nm7",10,"THETA3","se",NA
"488","nm7",10,"THETA4","estimate","3.66022"
"489","nm7",10,"THETA4","prse",NA
"490","nm7",10,"THETA4","se",NA
"491","nm7",10,"THETA5","estimate","114.271"
"492","nm7",10,"THETA5","prse",NA
"493","nm7",10,"THETA5","se",NA
"494","nm7",10,"THETA6","estimate","0.913148"
"495","nm7",10,"THETA6","prse",NA
"496","nm7",10,"THETA6","se",NA
"497","nm7",10,"THETA7","estimate","1.25892"
"498","nm7",10,"THETA7","prse",NA
"499","nm7",10,"THETA7","se",NA
"500","nm7",10,"OMEGA1.1","estimate","0.213392"
"501","nm7",10,"OMEGA1.1","prse",NA
"502","nm7",10,"OMEGA1.1","se",NA
"503","nm7",10,"OMEGA2.1","estimate","0.147129"
"504","nm7",10,"OMEGA2.1","prse",NA
"505","nm7",10,"OMEGA2.1","se",NA
"506","nm7",10,"OMEGA2.2","estimate","0.104568"
"507","nm7",10,"OMEGA2.2","prse",NA
"508","nm7",10,"OMEGA2.2","se",NA
"509","nm7",10,"OMEGA3.1","estimate","-0.0208962"
"510","nm7",10,"OMEGA3.1","prse",NA
"511","nm7",10,"OMEGA3.1","se",NA
"512","nm7",10,"OMEGA3.2","estimate","-0.030639"
"513","nm7",10,"OMEGA3.2","prse",NA
"514","nm7",10,"OMEGA3.2","se",NA
"515","nm7",10,"OMEGA3.3","estimate","0.0863338"
"516","nm7",10,"OMEGA3.3","prse",NA
"517","nm7",10,"OMEGA3.3","se",NA
"518","nm7",10,"SIGMA1.1","estimate","0.0556957"
"519","nm7",10,"SIGMA1.1","prse",NA
"520","nm7",10,"SIGMA1.1","se",NA
"521","nm7",10,"SIGMA2.1","estimate","0"
"522","nm7",10,"SIGMA2.1","prse",NA
"523","nm7",10,"SIGMA2.1","se",NA
"524","nm7",10,"SIGMA2.2","estimate","0.117192"
"525","nm7",10,"SIGMA2.2","prse",NA
"526","nm7",10,"SIGMA2.2","se",NA
"527","nm7",10,"cov","status","0"
"528","nm7",10,"prob","text","10 phase1 2 CMT like 1004 but diff. initial on V3"
"529","nm7",10,"min","status","0"
"530","nm7",10,"data","filename","../data/10.csv"
"531","nm7",11,"ofv","minimum","3102.99552165371"
"532","nm7",11,"THETA1","estimate","9.39676"
"533","nm7",11,"THETA1","prse",NA
"534","nm7",11,"THETA1","se",NA
"535","nm7",11,"THETA2","estimate","24.1921"
"536","nm7",11,"THETA2","prse",NA
"537","nm7",11,"THETA2","se",NA
"538","nm7",11,"THETA3","estimate","0.0709479"
"539","nm7",11,"THETA3","prse",NA
"540","nm7",11,"THETA3","se",NA
"541","nm7",11,"THETA4","estimate","3.5077"
"542","nm7",11,"THETA4","prse",NA
"543","nm7",11,"THETA4","se",NA
"544","nm7",11,"THETA5","estimate","116.88"
"545","nm7",11,"THETA5","prse",NA
"546","nm7",11,"THETA5","se",NA
"547","nm7",11,"THETA6","estimate","1.02737"
"548","nm7",11,"THETA6","prse",NA
"549","nm7",11,"THETA6","se",NA
"550","nm7",11,"THETA7","estimate","1.69229"
"551","nm7",11,"THETA7","prse",NA
"552","nm7",11,"THETA7","se",NA
"553","nm7",11,"OMEGA1.1","estimate","0.208644"
"554","nm7",11,"OMEGA1.1","prse",NA
"555","nm7",11,"OMEGA1.1","se",NA
"556","nm7",11,"OMEGA2.1","estimate","0.126885"
"557","nm7",11,"OMEGA2.1","prse",NA
"558","nm7",11,"OMEGA2.1","se",NA
"559","nm7",11,"OMEGA2.2","estimate","0.105546"
"560","nm7",11,"OMEGA2.2","prse",NA
"561","nm7",11,"OMEGA2.2","se",NA
"562","nm7",11,"OMEGA3.1","estimate","-0.0132187"
"563","nm7",11,"OMEGA3.1","prse",NA
"564","nm7",11,"OMEGA3.1","se",NA
"565","nm7",11,"OMEGA3.2","estimate","-0.039874"
"566","nm7",11,"OMEGA3.2","prse",NA
"567","nm7",11,"OMEGA3.2","se",NA
"568","nm7",11,"OMEGA3.3","estimate","0.0365562"
"569","nm7",11,"OMEGA3.3","prse",NA
